t,open,high,low,close,volume,date_vn
1727740800,15.48,16.0,15.4,15.84,33157700,2024-10-01
1727827200,15.8,15.8,15.64,15.64,8365600,2024-10-02
1727913600,15.68,15.96,15.4,15.4,25247700,2024-10-03
1728000000,15.4,15.52,15.32,15.4,10344200,2024-10-04
1728259200,15.52,15.56,15.36,15.36,6663900,2024-10-07
1728345600,15.4,15.6,15.36,15.36,10322100,2024-10-08
1728432000,15.4,15.48,15.32,15.36,12384900,2024-10-09
1728518400,15.44,15.56,15.28,15.28,17525800,2024-10-10
1728604800,15.28,15.36,15.2,15.28,6388200,2024-10-11
1728864000,15.36,15.4,15.2,15.24,7510100,2024-10-14
1728950400,15.24,15.48,15.24,15.36,10964300,2024-10-15
1729036800,15.32,15.4,15.24,15.32,6300300,2024-10-16
1729123200,15.32,15.52,15.16,15.48,13633600,2024-10-17
1729209600,15.56,15.88,15.52,15.6,29939000,2024-10-18
1729468800,15.52,15.6,15.32,15.36,11022700,2024-10-21
1729555200,15.36,15.36,14.88,15.0,25443600,2024-10-22
1729641600,15.0,15.12,14.72,14.96,24225600,2024-10-23
1729728000,15.0,15.12,14.8,14.8,10839900,2024-10-24
1729814400,14.92,14.96,14.6,14.6,18185000,2024-10-25
1730073600,14.68,14.8,14.56,14.6,14480800,2024-10-28
1730160000,14.64,15.0,14.64,15.0,28752200,2024-10-29
1730246400,15.12,15.32,15.04,15.2,21736400,2024-10-30
1730332800,15.2,15.2,15.04,15.16,6463700,2024-10-31
1730419200,15.12,15.16,14.96,15.08,8279000,2024-11-01
1730678400,15.0,15.0,14.76,14.8,9164500,2024-11-04
1730764800,14.8,14.92,14.76,14.8,4577800,2024-11-05
1730851200,14.88,14.96,14.84,14.88,6074600,2024-11-06
1730937600,14.96,14.96,14.8,14.8,4892500,2024-11-07
1731024000,14.88,14.88,14.6,14.64,9534100,2024-11-08
1731283200,14.64,14.72,14.44,14.56,15262800,2024-11-11
1731369600,14.64,14.72,14.52,14.68,8404500,2024-11-12
1731456000,14.64,14.68,14.52,14.64,6297800,2024-11-13
1731542400,14.68,14.68,14.48,14.56,8002200,2024-11-14
1731628800,14.48,14.6,14.48,14.52,14090000,2024-11-15
1731888000,14.52,14.68,14.36,14.56,7499600,2024-11-18
1731974400,14.56,14.64,14.44,14.44,3613400,2024-11-19
1732060800,14.4,14.6,14.4,14.52,4479200,2024-11-20
1732147200,14.52,14.64,14.48,14.64,3701900,2024-11-21
1732233600,14.68,14.72,14.56,14.56,4951100,2024-11-22
1732492800,14.6,14.88,14.56,14.8,11233500,2024-11-25
1732579200,14.84,14.96,14.8,14.84,6879500,2024-11-26
1732665600,14.84,14.92,14.76,14.8,5210400,2024-11-27
1732752000,14.88,15.2,14.84,15.12,13648200,2024-11-28
1732838400,15.04,15.2,15.0,15.2,8485700,2024-11-29
1733097600,15.2,15.24,15.08,15.08,5234500,2024-12-02
1733184000,15.08,15.24,14.96,15.04,9894400,2024-12-03
1733270400,15.04,15.2,15.0,15.08,7111800,2024-12-04
1733356800,15.04,15.48,15.04,15.48,11423500,2024-12-05
1733443200,15.4,15.52,15.36,15.4,7405900,2024-12-06
1733702400,15.44,15.48,15.36,15.44,5693400,2024-12-09
1733788800,15.44,15.48,15.4,15.44,4789100,2024-12-10
1733875200,15.48,15.52,15.28,15.32,5651400,2024-12-11
1733961600,15.36,15.4,15.28,15.28,5848600,2024-12-12
1734048000,15.28,15.4,15.24,15.4,5249600,2024-12-13
1734307200,15.4,15.48,15.36,15.44,5088900,2024-12-16
1734393600,15.48,15.48,15.36,15.36,3377700,2024-12-17
1734480000,15.36,15.4,15.24,15.32,5668900,2024-12-18
1734566400,15.24,15.28,15.12,15.12,12871900,2024-12-19
1734652800,15.08,15.2,15.08,15.16,3273300,2024-12-20
1734912000,15.2,15.28,15.12,15.16,3862800,2024-12-23
1734998400,15.16,15.24,15.08,15.24,6079700,2024-12-24
1735084800,15.2,15.68,15.2,15.36,15320100,2024-12-25
1735171200,15.48,15.84,15.44,15.8,21867900,2024-12-26
1735257600,15.84,16.2,15.8,16.04,22848400,2024-12-27
1735516800,16.04,16.12,15.8,15.8,7629400,2024-12-30
1735603200,15.84,15.88,15.76,15.76,6423000,2024-12-31
1735776000,15.76,15.96,15.68,15.76,6755900,2025-01-02
1735862400,15.76,15.76,15.32,15.32,7458700,2025-01-03
1736121600,15.32,15.4,15.24,15.32,7984400,2025-01-06
1736208000,15.36,15.56,15.28,15.48,7023600,2025-01-07
1736294400,15.48,15.6,15.36,15.56,4983100,2025-01-08
1736380800,15.56,15.64,15.52,15.56,4807900,2025-01-09
1736467200,15.6,15.68,15.44,15.44,10223500,2025-01-10
1736726400,15.4,15.52,15.32,15.52,5688700,2025-01-13
1736812800,15.52,15.6,15.44,15.52,3487800,2025-01-14
1736899200,15.6,15.84,15.52,15.72,6065800,2025-01-15
1736985600,15.84,15.84,15.68,15.76,5915600,2025-01-16
1737072000,15.8,15.88,15.72,15.88,5072400,2025-01-17
1737331200,15.88,16.16,15.88,16.08,9721800,2025-01-20
1737417600,16.16,16.2,15.96,16.08,5162700,2025-01-21
1737504000,16.12,16.12,15.92,15.96,6919300,2025-01-22
1737590400,15.96,16.4,15.96,16.36,11908500,2025-01-23
1737676800,16.4,16.64,16.28,16.52,8968000,2025-01-24
1738540800,16.36,16.36,15.4,16.08,9829300,2025-02-03
1738627200,16.12,16.4,16.12,16.28,5988800,2025-02-04
1738713600,16.28,16.36,16.24,16.32,3887800,2025-02-05
1738800000,16.48,16.64,16.32,16.36,3973800,2025-02-06
1738886400,16.24,16.6,16.2,16.4,6636000,2025-02-07
1739145600,16.28,16.8,16.2,16.4,11654400,2025-02-10
1739232000,16.6,16.72,16.4,16.52,4937200,2025-02-11
1739318400,16.52,16.56,16.32,16.4,6346400,2025-02-12
1739404800,16.32,16.4,16.28,16.36,6620600,2025-02-13
1739491200,16.52,16.56,16.32,16.36,5230800,2025-02-14
1739750400,16.32,16.44,16.28,16.28,4421300,2025-02-17
1739836800,16.32,16.48,16.28,16.32,6055800,2025-02-18
1739923200,16.32,16.6,16.32,16.44,8313900,2025-02-19
1740009600,16.52,16.52,16.44,16.44,6876300,2025-02-20
1740096000,16.44,16.56,16.4,16.48,7675800,2025-02-21
1740355200,16.48,16.92,16.4,16.64,17450900,2025-02-24
1740441600,16.68,16.8,16.56,16.6,12544600,2025-02-25
1740528000,16.6,16.64,16.48,16.48,8022900,2025-02-26
1740614400,16.44,16.52,16.36,16.52,7516800,2025-02-27
1740700800,16.44,16.72,16.36,16.6,12878600,2025-02-28
1740960000,16.64,16.92,16.64,16.8,18497900,2025-03-03
1741046400,16.72,16.96,16.68,16.88,13951200,2025-03-04
1741132800,17.0,17.12,16.8,16.8,20974600,2025-03-05
1741219200,16.8,16.8,16.52,16.76,13191200,2025-03-06
1741305600,16.72,16.96,16.64,16.76,12613000,2025-03-07
1741564800,16.88,16.96,16.72,16.76,15164400,2025-03-10
1741651200,16.68,16.72,16.56,16.64,8864900,2025-03-11
1741737600,16.8,16.8,16.4,16.4,12810900,2025-03-12
1741824000,16.4,16.48,16.12,16.24,15737100,2025-03-13
1741910400,16.24,16.32,16.16,16.28,5330300,2025-03-14
1742169600,16.4,16.6,16.28,16.4,7723000,2025-03-17
1742256000,16.56,16.56,16.28,16.32,4846400,2025-03-18
1742342400,16.28,16.48,16.24,16.4,9843300,2025-03-19
1742428800,16.52,16.52,16.28,16.32,7555000,2025-03-20
1742515200,16.36,16.4,16.24,16.24,4425000,2025-03-21
1742774400,16.24,16.28,15.64,15.96,25176100,2025-03-24
1742860800,16.04,16.28,15.92,16.04,14167500,2025-03-25
1742947200,16.12,16.16,15.96,15.96,8916600,2025-03-26
1743033600,15.96,16.08,15.92,16.0,4549900,2025-03-27
1743120000,16.0,16.0,15.8,15.84,6620500,2025-03-28
1743379200,15.76,15.88,15.68,15.88,5209000,2025-03-31
1743465600,16.0,16.04,15.88,16.0,5841100,2025-04-01
1743552000,16.08,16.16,15.96,15.96,9671100,2025-04-02
1743638400,15.44,15.64,14.88,14.88,31989100,2025-04-03
1743724800,14.28,14.96,13.92,14.96,21898700,2025-04-04
1744070400,14.4,14.44,13.92,13.92,10872000,2025-04-08
1744156800,13.04,14.48,13.04,13.56,12080700,2025-04-09
1744243200,14.48,14.48,14.48,14.48,645500,2025-04-10
1744329600,15.04,15.04,14.56,14.92,16422400,2025-04-11
1744588800,14.92,15.04,14.84,15.0,5914500,2025-04-14
1744675200,14.84,15.0,14.68,14.76,7080200,2025-04-15
1744761600,14.76,14.84,14.56,14.56,5114600,2025-04-16
