t,open,high,low,close,volume,date_vn
1730246400,48.331,48.505,47.983,48.07,357300,2024-10-30
1730332800,48.157,48.941,48.07,48.07,486300,2024-10-31
1730419200,48.418,48.853,48.157,48.157,436900,2024-11-01
1730678400,48.679,48.853,48.331,48.331,456700,2024-11-04
1730764800,48.679,48.853,48.244,48.331,271600,2024-11-05
1730851200,48.505,48.766,48.331,48.592,391500,2024-11-06
1730937600,48.766,48.853,48.418,48.418,294500,2024-11-07
1731024000,48.505,48.679,48.07,48.07,516500,2024-11-08
1731283200,48.157,48.592,48.07,48.157,446500,2024-11-11
1731369600,48.244,49.986,48.244,49.289,1042200,2024-11-12
1731456000,49.376,49.637,49.028,49.463,314300,2024-11-13
1731542400,49.463,49.463,48.766,48.853,298700,2024-11-14
1731628800,48.766,48.853,48.331,48.331,386200,2024-11-15
1731888000,49.028,49.028,48.157,48.331,471600,2024-11-18
1731974400,48.766,48.766,47.896,47.896,497100,2024-11-19
1732060800,47.634,48.331,47.634,48.331,414600,2024-11-20
1732147200,48.418,48.418,47.983,48.157,243200,2024-11-21
1732233600,48.157,48.766,48.157,48.244,382400,2024-11-22
1732492800,48.679,48.766,48.331,48.331,388600,2024-11-25
1732579200,48.418,49.028,48.418,48.853,718100,2024-11-26
1732665600,48.853,49.289,48.853,48.853,432800,2024-11-27
1732752000,49.115,49.202,48.331,48.331,342400,2024-11-28
1732838400,48.331,48.853,48.07,48.853,436000,2024-11-29
1733097600,48.941,49.55,48.766,48.941,355300,2024-12-02
1733184000,48.941,49.028,48.592,48.941,374400,2024-12-03
1733270400,48.941,50.508,48.766,49.986,1381400,2024-12-04
1733356800,50.16,50.508,49.55,50.073,676400,2024-12-05
1733443200,50.247,50.943,49.898,50.247,1069700,2024-12-06
1733702400,50.247,50.421,49.811,50.073,462400,2024-12-09
1733788800,50.073,50.769,49.986,50.595,735300,2024-12-10
1733875200,50.682,50.856,50.16,50.16,817200,2024-12-11
1733961600,50.16,50.595,50.073,50.073,507300,2024-12-12
1734048000,50.073,50.247,49.811,49.986,461700,2024-12-13
1734307200,49.986,50.16,49.811,49.898,206600,2024-12-16
1734393600,50.073,50.16,49.637,49.898,339400,2024-12-17
1734480000,49.898,50.16,49.898,49.986,270100,2024-12-18
1734566400,49.637,49.898,49.115,49.55,769800,2024-12-19
1734652800,49.55,49.724,49.115,49.202,778600,2024-12-20
1734912000,49.637,50.595,49.376,49.811,588200,2024-12-23
1734998400,49.898,50.073,49.637,49.811,510800,2024-12-24
1735084800,50.073,50.334,49.811,49.986,845200,2024-12-25
1735171200,49.803,50.525,49.803,50.254,866500,2024-12-26
1735257600,50.344,50.344,49.713,50.344,632700,2024-12-27
1735516800,50.254,50.615,49.803,50.615,478700,2024-12-30
1735603200,50.434,50.434,50.074,50.074,366000,2024-12-31
1735776000,50.344,50.344,49.713,50.164,359100,2025-01-02
1735862400,50.164,50.254,49.622,49.622,367400,2025-01-03
1736121600,49.532,50.254,48.359,48.359,941500,2025-01-06
1736208000,48.45,48.901,48.45,48.45,403600,2025-01-07
1736294400,48.45,48.63,48.359,48.45,496600,2025-01-08
1736380800,48.45,48.72,48.269,48.359,411400,2025-01-09
1736467200,48.359,48.72,48.359,48.359,475600,2025-01-10
1736726400,48.179,49.081,48.089,48.81,462200,2025-01-13
1736812800,48.72,49.171,48.72,49.171,329200,2025-01-14
1736899200,49.622,49.622,49.081,49.622,331800,2025-01-15
1736985600,49.442,49.983,48.54,48.72,572400,2025-01-16
