t,open,high,low,close,volume,date_vn
1784873340,1830.62,1830.62,1828.96,1829.46,553124,2026-07-24
1784873400,1828.65,1828.77,1827.12,1827.12,787004,2026-07-24
1784873460,1827.28,1827.39,1826.7,1827.2,384029,2026-07-24
1784873520,1826.97,1827.91,1826.04,1826.04,729836,2026-07-24
1784873580,1826.25,1827.57,1826.15,1827.29,506132,2026-07-24
1784873640,1827.65,1828.52,1827.65,1828.52,339286,2026-07-24
1784873700,1827.93,1829.17,1826.53,1826.86,650671,2026-07-24
1784873760,1828.53,1829.46,1828.33,1829.28,646893,2026-07-24
1784873820,1829.1,1829.63,1828.22,1828.22,260647,2026-07-24
1784873880,1828.93,1829.62,1828.33,1828.73,238531,2026-07-24
1784873940,1828.78,1830.31,1828.36,1829.6,704506,2026-07-24
1784874000,1829.2,1829.61,1828.81,1829.55,432357,2026-07-24
1784874060,1829.44,1829.67,1829.02,1829.23,540836,2026-07-24
1784874120,1828.83,1829.5,1828.58,1829.3,359359,2026-07-24
1784874180,1828.84,1829.78,1828.84,1829.68,560008,2026-07-24
1784874240,1829.69,1830.24,1829.04,1829.92,395571,2026-07-24
1784874300,1829.14,1829.78,1829.13,1829.6,1008831,2026-07-24
1784874360,1829.46,1830.16,1829.17,1829.93,1266540,2026-07-24
1784874420,1830.13,1831.02,1830.05,1830.83,1256554,2026-07-24
1784874480,1830.68,1831.1,1830.32,1830.8,849142,2026-07-24
1784874540,1830.44,1830.44,1829.01,1829.01,1227361,2026-07-24
1784874600,1828.64,1829.25,1825.88,1825.88,2047076,2026-07-24
1784874660,1825.72,1825.72,1825.0,1825.11,925816,2026-07-24
1784874720,1824.74,1825.94,1824.41,1825.57,810376,2026-07-24
1784874780,1825.2,1826.19,1824.59,1826.19,1169535,2026-07-24
1784874840,1826.13,1827.38,1825.61,1825.61,866926,2026-07-24
1784874900,1826.27,1827.14,1825.16,1827.14,1248921,2026-07-24
1784874960,1826.68,1827.43,1826.58,1826.71,536973,2026-07-24
1784875020,1827.19,1827.35,1826.36,1826.55,377289,2026-07-24
1784875080,1826.06,1826.84,1825.99,1826.12,612748,2026-07-24
1784875140,1825.8,1826.26,1824.55,1824.74,482406,2026-07-24
1784875200,1825.06,1825.99,1824.82,1825.75,1016101,2026-07-24
1784875260,1825.2,1827.18,1825.13,1826.06,570043,2026-07-24
1784875320,1825.07,1826.12,1825.05,1825.05,893838,2026-07-24
1784875380,1826.15,1827.4,1825.82,1826.97,1234829,2026-07-24
1784875440,1827.5,1828.31,1827.22,1827.91,1481196,2026-07-24
1784875500,1827.56,1828.63,1826.88,1826.88,1233030,2026-07-24
1784875560,1826.75,1828.89,1826.75,1828.89,1943363,2026-07-24
1784875620,1829.36,1829.36,1827.98,1828.95,817119,2026-07-24
1784875680,1829.17,1829.53,1828.35,1828.35,1032358,2026-07-24
1784875740,1828.43,1829.18,1828.3,1828.97,936193,2026-07-24
1784875800,1828.82,1830.27,1828.68,1829.34,936947,2026-07-24
1784875860,1829.36,1829.92,1828.66,1828.89,890481,2026-07-24
1784875920,1828.88,1828.95,1826.46,1827.43,1061875,2026-07-24
1784875980,1826.93,1827.54,1826.18,1827.02,855761,2026-07-24
1784876040,1827.12,1828.74,1827.12,1827.56,631537,2026-07-24
1784876100,1827.93,1827.93,1825.88,1826.0,1965326,2026-07-24
1784876160,1825.84,1826.38,1824.46,1824.83,2645543,2026-07-24
1784876220,1824.78,1825.25,1823.95,1824.18,1564244,2026-07-24
1784876280,1824.09,1824.42,1823.55,1823.8,651558,2026-07-24
1784876340,1823.7,1824.47,1823.3,1824.47,525351,2026-07-24
1784876400,1824.24,1826.8,1824.24,1826.46,832258,2026-07-24
