Scope,Ticker,SnapshotTimeBucket,FeatureSet,Model,Rows,UsedFeatureCount,CloseMAEPct,HighMAEPct,LowMAEPct,RangeMAEPct,CloseDirHitPct,SelectionScore
TPB,TPB,AM_EARLY,price_volume_core,ridge,221,81.0,0.7909220885121577,0.5950876771145572,0.5452054085699922,0.5829624061667495,46.15384615384615,0.8516632152061322
TPB,TPB,AM_LATE,price_volume_core,hist_gbm,290,81.0,0.6231535693981234,0.48107942402902476,0.4128656587727932,0.4417249650259529,57.58620689655173,0.46417414426632
TPB,TPB,PM_EARLY,price_volume_core,hist_gbm,225,81.0,0.5876892735843255,0.41788535016839645,0.3402835200124224,0.43875510505840115,48.44444444444444,0.46966326606605624
TPB,TPB,PM_LATE,range_micro_volume,ridge,226,67.0,0.46711678293537257,0.3790714269385652,0.3604982202493598,0.5389478715668101,47.34513274336283,0.5541273606210317
VCB,VCB,AM_EARLY,price_volume_core,ridge,228,81.0,0.6681370349507446,0.6609856464133452,0.5583489226255787,0.8516395338741417,59.210526315789465,0.6206146249984061
VCB,VCB,AM_LATE,price_volume_core,hist_gbm,301,81.0,0.5719266192469641,0.4595129777294341,0.43417043865573146,0.5247235568079124,54.15282392026578,0.45412991700972927
VCB,VCB,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.5281058835018303,0.36949082338028627,0.3316764446311336,0.3648542619133236,50.877192982456144,0.3380435256062613
VCB,VCB,PM_LATE,range_micro_volume,ridge,228,67.0,0.4450805911624418,0.3257650910634363,0.2711880220199891,0.38006921124677256,43.859649122807014,0.37788341028556854
VHM,VHM,AM_EARLY,price_volume_core,ridge,227,81.0,2.1503291591795506,1.3878445218961994,1.1923967974061793,1.2811662643366841,48.01762114537445,3.1123494228154174
VHM,VHM,AM_LATE,price_volume_core,hist_gbm,302,81.0,1.7637842520509897,1.1204911824020882,0.9675741425206587,0.9518174582192978,39.735099337748345,2.4947741470627145
VHM,VHM,PM_EARLY,price_volume_core,hist_gbm,228,81.0,1.3272314355141042,0.9152996746299134,0.7182164004225292,0.9043045682940376,43.42105263157895,1.8429994695321488
